KODE_PEMBANGKIT,TIPE,NAMA_PEMBANGKIT,KEPEMILIKAN,DAYA_TERPASANG,SISTEM_TRANSMISI,REGIONAL,IS_BATUBARA,IS_GASPIPA,IS_LNG,IS_BIOMASA,IS_BBM,ID_BBO,IS_ACTIVE,PUBLISH_BY,PUBLISH_ON
120001,PLTU,"PLTU SURALAYA 1-7","PLN IP",3400,JAMALI,JAMALI,1,0,0,1,0,71,1,"Miftahu Choirul Burhan","2024-05-16 15:28:55"
120002,PLTU,"PLTU SURALAYA 8","PLN IP",625,JAMALI,JAMALI,1,0,0,0,0,14,1,"Miftahu Choirul Burhan","2024-05-16 15:28:55"
